sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.004209,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0038,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00302,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.003,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.0015,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00016,,,,,,
125,GRAND 180X200 krevet + madrac,505,Džepičasto jezgro 164x184x18 (65.180.4.180.00.0.0000) 27x29,kom,1,,,,,,
125,GRAND 180X200 krevet + madrac,498,Filc 900 gr,kg,2.153,,,,,,
125,"Grand, Pluton 180x200",281,HR 35,kg,3.70062,Madrac ,198,178,3,1,
125,Grand 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,1.209,,186,65,,1,
125,Grand 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.6538,,186.8,35,,1,
125,Grand 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.304,,190,8,,2,
125,Grand 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.20288,,126.8,8,,2,
125,Grand 180x200,897,IVERICA 16MM 2800-2070 I KLASA,m2,0.093,,186,5,,1,
125,GRAND 180X200 krevet + madrac,34,KLAMERICA 14/35 PAK 10000/1,milla,0.3,,,,,,
125,GRAND 180X200 krevet + madrac,34,KLAMERICA 14/35 PAK 10000/1,milla,0.3,,,,,,
125,GRAND 180X200 krevet + madrac,34,KLAMERICA 14/35 PAK 10000/1,milla,0.1,,,,,,
125,GRAND 180X200 krevet + madrac,32,Klamerica 380/10 delta 10.000/1 M,milla,0.3,,,,,,
125,GRAND 180X200 krevet + madrac,33,Klamerica staples 380/14 B,milla,0.35,,,,,,
125,GRAND 180X200 krevet + madrac,33,Klamerica staples 380/14 B,milla,0.3,,,,,,
125,GRAND 180X200 krevet + madrac,33,Klamerica staples 380/14 B,milla,0.1,,,,,,
125,GRAND 180X200 krevet + madrac,387,Leptir matica M8 PVC,kom,2,,,,,,
125,GRAND 180X200 krevet + madrac,86,Ljepilo za drvo Vinavil 2252 50/1 K,kg,0.25,,,,,,
125,GRAND 180X200 krevet + madrac,86,Ljepilo za drvo Vinavil 2252 50/1 K,kg,0.06,,,,,,
125,GRAND 180X200 krevet + madrac,398,Ljepilo za spužvu,kg,0.7,,,,,,
125,GRAND 180X200 krevet + madrac,398,Ljepilo za spužvu,kg,0.12,,,,,,
125,GRAND 180X200 krevet + madrac,398,Ljepilo za spužvu,kg,0.12,,,,,,
125,GRAND 180X200 krevet + madrac,398,Ljepilo za spužvu,kg,0.1,,,,,,
125,GRAND 180X200 krevet + madrac,756,M. Vijak din 965 6x20,kom,8,,,,,,
125,GRAND 180X200 krevet + madrac,424,Madrac platno  50021973 (280 gr) AT,m,4.1,,,,,,
125,GRAND 180X200 krevet + madrac,520,Madrac platno 280 gr 50022324,m,2.6,,,,,,
