"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,411,513,Termo vata (filc) 100 gr (210) A,kg,381.48
,,412,58,Termo vata (filc) 100 gr A,kg,0.00
,,413,477,Termo vata (filc) 100gr (150) A,kg,96.00
,,414,589,Termo vata (filc) 500 gr (210 cm) A,kg,120.00
,,415,55,Termo vata 200g/210 cm AK,kg,544.68
,,416,857,Termo vata 300 gr/3x75cm,kg,329.80
,,417,102,Termo vata 300g/210 cm AK,kg,221.18
,,418,570,Termo vata 300g/2x75cm AK,kg,0.00
,,419,796,Termo vata 300gr/180cm,kg,70.00
,,420,442,Tiket za ćoškove madraca sivi 10x48,kom,500.00
,,421,443,Tiket za ćoškove madraca smeđi 10x48,kom,500.00
,,422,446,Tiket za madrace 12x16,kom,630.00
,,423,444,Tiket za uzglavlje sivi 5x10,kom,400.00
,,424,445,Tiket za uzglavlje smeđi 5x10,kom,400.00
,,425,78,Titan 101 (Amsterdam 102) SE,m,30.00
,,426,395,Torban 6x40,kom,"25,422.00"
,,427,226,Torban vijak M6x100 cink T,kom,"1,166.00"
,,428,1092,"TRAKA BIJELA 22X0,8",m,330.00
,,429,1201,TRAKA BIJELA 22X1,m,"1,860.00"
,,430,372,Trougaona nožica h15 - crna E (4511),kom,560.00
,,431,1203,Ulje za mašine,kom,20.00
,,432,83,Unit Matica M6x9 T,kom,"12,820.00"
,,433,39,Unit Matica M8x11 T,kom,"8,736.00"
,,434,859,USLUGA REZANJA,Kom,566.00
,,435,1131,Valoviti karton BIGOVANA TRAKA 250X3000,kom,980.00
,,436,1132,Valoviti karton Kartonska traka bigovana,kom,"4,120.00"
,,437,285,"Vijak DIN 933-8,8, M8x80 cink T",kom,"4,988.00"
,,438,231,"Vijak DIN 933-8.8, M8x40 - cink T",kom,"2,176.00"
,,439,52,"Vijak konusni DIN 965-4,8, M6x30, cink T",kom,900.00
,,440,434,"Vijak konusni DIN 965-4,8, M6x40, cink T",kom,"2,450.00"
,,441,393,"Vijak samorezač 3,9x22",kom,"22,952.00"
,,442,1159,"Vijak za ivericu 4,5x30",kom,"2,000.00"
,,443,1160,Vijak za ivericu 4x40 100/1,kom,"2,000.00"
,,444,603,Vijak za ivericu 5x30 100/1,kom,"5,000.00"
,,445,798,Vijak za ivericu 5x35 100/1,kom,"6,000.00"
,,446,606,Vijak za ivericu 5x40 100/1,kom,"4,000.00"
,,447,774,Žič. Jezgro 188x126x11 A,kom,22.00
,,448,204,Žič. Jezgro 188x66x11 A,kom,24.00
,,449,203,Žič. Jezgro 188x76x11 A,kom,20.00
,,450,397,"Žica za varenje za CO2 0,8 mm",kg,660.00
,,451,60,Žičano jezgro 106x188x14 NY,kom,19.00
,,452,62,Žičano jezgro 126x188x14 NY,kom,46.00
,,453,850,Žičano jezgro 146x186 (84.150.5.220.00.0.0000) 14x24,kom,194.00
,,454,995,Žičano jezgro 146x186x18 13x23,kom,100.01
,,455,851,Žičano jezgro 166x186 (84.150.5.220.00.0.0000) 16x24,kom,80.01
